"st" "flag_fthb" "prop_type" "count" "fico_avg" "avg_ltv" "avg_dti" "year" "quart"
"101" "FL" "N" "LH" 2 767.5 49 18 "2000" "1"
"102" "FL" "N" "MH" 16 695 85.6875 33.5625 "2000" "1"
"103" "FL" "N" "PU" 1476 712.162601626016 77.2974254742547 35.2872628726287 "2000" "1"
"104" "FL" "N" "SF" 4126 707.972855065439 79.5569558894813 34.6391177896268 "2000" "1"
"105" "FL" "Y" "CO" 292 700.777397260274 87.3493150684932 34.5308219178082 "2000" "1"
"106" "FL" "Y" "MH" 2 697.5 85 30 "2000" "1"
"107" "FL" "Y" "PU" 462 697.969696969697 85.482683982684 35.8246753246753 "2000" "1"
"108" "FL" "Y" "SF" 957 694.539184952978 86.662486938349 35.7826541274817 "2000" "1"
"109" "GA" "" "CO" 37 717.135135135135 78.3243243243243 32.8648648648649 "2000" "1"
"110" "GA" "" "LH" 1 748 59 48 "2000" "1"
"111" "GA" "" "MH" 9 688.333333333333 85 39 "2000" "1"
"112" "GA" "" "PU" 50 706.12 73.36 34.44 "2000" "1"
"113" "GA" "" "SF" 469 699.513859275053 75.1620469083156 34.8251599147122 "2000" "1"
"114" "GA" "N" "CO" 120 725.816666666667 81.5583333333333 33.4833333333333 "2000" "1"
"115" "GA" "N" "MH" 4 683.5 89.25 30.75 "2000" "1"
"116" "GA" "N" "PU" 524 716.419847328244 78.5553435114504 36.1832061068702 "2000" "1"
"117" "GA" "N" "SF" 2661 708.487410747839 80.2431416760616 34.9334836527621 "2000" "1"
"118" "GA" "Y" "CO" 111 708.027027027027 89.8468468468468 35.3873873873874 "2000" "1"
"119" "GA" "Y" "MH" 2 673.5 96 18 "2000" "1"
"120" "GA" "Y" "PU" 136 698.529411764706 85.8602941176471 34.6764705882353 "2000" "1"
"121" "GA" "Y" "SF" 564 701.374113475177 87.2836879432624 35.2606382978723 "2000" "1"
"122" "GU" "" "SF" 2 661.5 75 23 "2000" "1"
"123" "GU" "N" "PU" 1 659 39 45 "2000" "1"
"124" "GU" "N" "SF" 18 702.722222222222 76.5 32.8333333333333 "2000" "1"
"125" "GU" "Y" "SF" 8 718.25 86.375 34.5 "2000" "1"
"126" "HI" "" "CO" 46 737.478260869565 71.3478260869565 31.8478260869565 "2000" "1"
"127" "HI" "" "PU" 15 734.466666666667 72.6 37.4 "2000" "1"
"128" "HI" "" "SF" 45 714.555555555556 70.2888888888889 33.3111111111111 "2000" "1"
"129" "HI" "N" "CO" 49 733.040816326531 75.4081632653061 35.9387755102041 "2000" "1"
"130" "HI" "N" "LH" 1 767 80 38 "2000" "1"
"131" "HI" "N" "PU" 30 739.2 78.9 37.7666666666667 "2000" "1"
"132" "HI" "N" "SF" 121 713.388429752066 73.1074380165289 39.8760330578512 "2000" "1"
"133" "HI" "Y" "CO" 32 708.59375 86.125 37.8125 "2000" "1"
"134" "HI" "Y" "PU" 25 710.44 84.04 41.56 "2000" "1"
"135" "HI" "Y" "SF" 34 712.647058823529 87.8529411764706 36.4117647058824 "2000" "1"
"136" "IA" "" "CO" 1 712 83 43 "2000" "1"
"137" "IA" "" "PU" 2 689.5 77.5 25 "2000" "1"
"138" "IA" "" "SF" 114 695.114035087719 74.5789473684211 32.5263157894737 "2000" "1"
"139" "IA" "N" "CO" 18 725.555555555556 81.7777777777778 37.2222222222222 "2000" "1"
"140" "IA" "N" "MH" 2 704.5 61.5 31 "2000" "1"
"141" "IA" "N" "PU" 11 674.909090909091 75.5454545454545 34.4545454545455 "2000" "1"
"142" "IA" "N" "SF" 656 710.533536585366 80.5076219512195 34.9771341463415 "2000" "1"
"143" "IA" "Y" "CO" 14 706.785714285714 85.8571428571429 33.1428571428571 "2000" "1"
"144" "IA" "Y" "PU" 5 724.2 89.4 37.4 "2000" "1"
"145" "IA" "Y" "SF" 226 700.057522123894 89.3628318584071 34.1637168141593 "2000" "1"
"146" "ID" "" "CO" 1 717 80 39 "2000" "1"
"147" "ID" "" "MH" 2 642.5 69.5 32 "2000" "1"
"148" "ID" "" "PU" 18 725.777777777778 77.6111111111111 38 "2000" "1"
"149" "ID" "" "SF" 135 703.725925925926 73.0592592592593 34.6222222222222 "2000" "1"
"150" "ID" "N" "CO" 8 706.5 73.75 39.25 "2000" "1"
"151" "ID" "N" "MH" 11 686.818181818182 77.4545454545455 37.5454545454545 "2000" "1"
"152" "ID" "N" "PU" 134 722.888059701493 76.5597014925373 36.4850746268657 "2000" "1"
"153" "ID" "N" "SF" 460 713.171739130435 77.5804347826087 35.5847826086957 "2000" "1"
"154" "ID" "Y" "CO" 4 696.5 76.25 21.25 "2000" "1"
"155" "ID" "Y" "MH" 3 675.333333333333 66.3333333333333 37 "2000" "1"
"156" "ID" "Y" "PU" 32 714.25 82.1875 36 "2000" "1"
"157" "ID" "Y" "SF" 109 706.926605504587 85.5596330275229 36.2477064220183 "2000" "1"
"158" "IL" "" "CO" 58 707.448275862069 74.3793103448276 31.7758620689655 "2000" "1"
"159" "IL" "" "PU" 22 695.772727272727 69.4545454545455 33.3181818181818 "2000" "1"
"160" "IL" "" "SF" 505 701.09702970297 72.9089108910891 34.2495049504951 "2000" "1"
"161" "IL" "N" "CO" 578 718.076124567474 78.8529411764706 35.9826989619377 "2000" "1"
"162" "IL" "N" "MH" 3 745.333333333333 83 41.6666666666667 "2000" "1"
"163" "IL" "N" "PU" 263 712.977186311787 74.8973384030418 36.1292775665399 "2000" "1"
"164" "IL" "N" "SF" 3232 709.144801980198 77.9684405940594 35.6262376237624 "2000" "1"
"165" "IL" "Y" "CO" 210 708.895238095238 84.8619047619048 34.752380952381 "2000" "1"
"166" "IL" "Y" "MH" 1 771 95 24 "2000" "1"
"167" "IL" "Y" "PU" 75 701.506666666667 82.9866666666667 34.44 "2000" "1"
"168" "IL" "Y" "SF" 610 703.560655737705 86.8786885245902 34.0868852459016 "2000" "1"
"169" "IN" "" "CO" 6 690.666666666667 63.6666666666667 26.1666666666667 "2000" "1"
"170" "IN" "" "MH" 3 663 83.3333333333333 34.6666666666667 "2000" "1"
"171" "IN" "" "PU" 9 707.888888888889 65.3333333333333 28.6666666666667 "2000" "1"
"172" "IN" "" "SF" 368 696.557065217391 73.6739130434783 34.1847826086956 "2000" "1"
"173" "IN" "N" "CO" 27 725.407407407407 76.3333333333333 34.4444444444444 "2000" "1"
"174" "IN" "N" "MH" 8 686 80 39.125 "2000" "1"
"175" "IN" "N" "PU" 125 716 80.712 33.912 "2000" "1"
"176" "IN" "N" "SF" 1893 709.770734284205 78.5483359746434 33.688853671421 "2000" "1"
"177" "IN" "Y" "CO" 7 690.428571428571 82.4285714285714 33.2857142857143 "2000" "1"
"178" "IN" "Y" "MH" 2 687 84.5 51 "2000" "1"
"179" "IN" "Y" "PU" 36 711.638888888889 84.3611111111111 34.3611111111111 "2000" "1"
"180" "IN" "Y" "SF" 361 702.903047091413 86.4626038781163 33.4459833795014 "2000" "1"
"181" "KS" "" "MH" 1 759 58 37 "2000" "1"
"182" "KS" "" "PU" 11 701 80.1818181818182 35.0909090909091 "2000" "1"
"183" "KS" "" "SF" 110 706.263636363636 77.6545454545455 32.5181818181818 "2000" "1"
"184" "KS" "N" "CO" 5 737.8 84 30.8 "2000" "1"
"185" "KS" "N" "MH" 4 700.25 89 47.25 "2000" "1"
"186" "KS" "N" "PU" 80 723.325 78.125 36.25 "2000" "1"
"187" "KS" "N" "SF" 667 710.007496251874 80.7451274362819 33.527736131934 "2000" "1"
"188" "KS" "Y" "CO" 3 733 84.6666666666667 47 "2000" "1"
"189" "KS" "Y" "PU" 28 701.214285714286 88.6785714285714 34 "2000" "1"
"190" "KS" "Y" "SF" 93 695.666666666667 89.0645161290323 34.1720430107527 "2000" "1"
"191" "KY" "" "CO" 4 711.25 69 21.25 "2000" "1"
"192" "KY" "" "LH" 1 736 90 34 "2000" "1"
"193" "KY" "" "MH" 1 695 70 35 "2000" "1"
"194" "KY" "" "PU" 3 700.666666666667 61 31 "2000" "1"
"195" "KY" "" "SF" 291 702.879725085911 72.5601374570447 33.340206185567 "2000" "1"
"196" "KY" "N" "CO" 53 722.075471698113 75.6792452830189 34.6415094339623 "2000" "1"
"197" "KY" "N" "LH" 1 627 72 33 "2000" "1"
"198" "KY" "N" "PU" 37 719.297297297297 76.8918918918919 35.3243243243243 "2000" "1"
"199" "KY" "N" "SF" 1257 712.565632458234 77.2315035799523 33.7048528241846 "2000" "1"
"200" "KY" "Y" "CO" 18 723.722222222222 76.5 33 "2000" "1"
"201" "KY" "Y" "MH" 1 758 95 35 "2000" "1"
"202" "KY" "Y" "PU" 11 704.909090909091 83.4545454545455 31.3636363636364 "2000" "1"
"203" "KY" "Y" "SF" 309 710.323624595469 85.2718446601942 31.9223300970874 "2000" "1"
"204" "LA" "" "CO" 3 711 83.3333333333333 33.3333333333333 "2000" "1"
"205" "LA" "" "MH" 3 642.333333333333 84.3333333333333 44.6666666666667 "2000" "1"
"206" "LA" "" "SF" 94 680.936170212766 74.6702127659574 32.9468085106383 "2000" "1"
"207" "LA" "N" "CO" 11 695.545454545455 81.4545454545455 34.8181818181818 "2000" "1"
"208" "LA" "N" "MH" 1 679 80 31 "2000" "1"
"209" "LA" "N" "PU" 11 712.454545454545 79 35.0909090909091 "2000" "1"
"210" "LA" "N" "SF" 677 702.15952732644 80.9497784342688 33.2909896602659 "2000" "1"
"211" "LA" "Y" "CO" 4 679.5 87.5 27.25 "2000" "1"
"212" "LA" "Y" "MH" 1 760 95 46 "2000" "1"
"213" "LA" "Y" "PU" 1 658 93 45 "2000" "1"
"214" "LA" "Y" "SF" 75 688.52 86.24 34.9066666666667 "2000" "1"
"215" "MA" "" "CO" 45 712.177777777778 75.6222222222222 32.7111111111111 "2000" "1"
"216" "MA" "" "SF" 302 705.32119205298 67.9039735099338 35.4735099337748 "2000" "1"
"217" "MA" "N" "CO" 215 720.344186046512 76.0837209302326 34.8186046511628 "2000" "1"
"218" "MA" "N" "MH" 7 744.428571428571 66.5714285714286 29.5714285714286 "2000" "1"
"219" "MA" "N" "PU" 3 699.666666666667 85.3333333333333 47 "2000" "1"
"220" "MA" "N" "SF" 1168 709.088184931507 74.076198630137 36.0864726027397 "2000" "1"
"221" "MA" "Y" "CO" 109 717.853211009174 85.1651376146789 35.2935779816514 "2000" "1"
